"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"4300","ENSG00000254681","PKD1P5","ENSG00000254681.5"
"4301","ENSG00000169122","FAM110B","ENSG00000169122.10"
"4302","ENSG00000160180","TFF3","ENSG00000160180.15"
"4303","ENSG00000163563","MNDA","ENSG00000163563.7"
"4304","ENSG00000186281","GPAT2","ENSG00000186281.11"
"4305","ENSG00000146192","FGD2","ENSG00000146192.13"
"4306","ENSG00000049089","COL9A2","ENSG00000049089.12"
"4307","ENSG00000214106","PAXIP1-AS2","ENSG00000214106.6"
"4308","ENSG00000112877","CEP72","ENSG00000112877.7"
"4309","ENSG00000129474","AJUBA","ENSG00000129474.14"
"4310","ENSG00000178201","VN1R1","ENSG00000178201.4"
"4311","ENSG00000273314","AC005229.4","ENSG00000273314.1"
"4312","ENSG00000170214","ADRA1B","ENSG00000170214.3"
"4313","ENSG00000141968","VAV1","ENSG00000141968.6"
"4314","ENSG00000204622","HLA-J","ENSG00000204622.9"
"4315","ENSG00000213123","TCTEX1D2","ENSG00000213123.9"
"4316","ENSG00000234028","EIF2AK3-DT","ENSG00000234028.3"
"4317","ENSG00000189045","ANKDD1B","ENSG00000189045.12"
"4318","ENSG00000167536","DHRS13","ENSG00000167536.12"
"4319","ENSG00000184730","APOBR","ENSG00000184730.9"
"4320","ENSG00000147041","SYTL5","ENSG00000147041.10"
"4321","ENSG00000229638","RPL4P4","ENSG00000229638.1"
"4322","ENSG00000115041","KCNIP3","ENSG00000115041.11"
"4323","ENSG00000185634","SHC4","ENSG00000185634.10"
"4324","ENSG00000078401","EDN1","ENSG00000078401.6"
"4325","ENSG00000108984","MAP2K6","ENSG00000108984.12"
"4326","ENSG00000253537","PCDHGA7","ENSG00000253537.2"
"4327","ENSG00000122481","RWDD3","ENSG00000122481.15"
"4328","ENSG00000070601","FRMPD1","ENSG00000070601.8"
"4329","ENSG00000152422","XRCC4","ENSG00000152422.14"
"4330","ENSG00000267470","ZNF571-AS1","ENSG00000267470.4"
"4331","ENSG00000164342","TLR3","ENSG00000164342.11"
"4332","ENSG00000145949","MYLK4","ENSG00000145949.9"
"4333","ENSG00000269743","SLC25A53","ENSG00000269743.2"
"4334","ENSG00000112297","CRYBG1","ENSG00000112297.13"
"4335","ENSG00000112799","LY86","ENSG00000112799.7"
"4336","ENSG00000165084","C8orf34","ENSG00000165084.14"
"4337","ENSG00000146374","RSPO3","ENSG00000146374.12"
"4338","ENSG00000100987","VSX1","ENSG00000100987.13"
