"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"13757","ENSG00000197548","ATG7","ENSG00000197548.11"
"13758","ENSG00000197555","SIPA1L1","ENSG00000197555.8"
"13759","ENSG00000197557","TTC30A","ENSG00000197557.6"
"13760","ENSG00000197558","SSPOP","ENSG00000197558.10"
"13761","ENSG00000197562","RAB40C","ENSG00000197562.8"
"13762","ENSG00000197563","PIGN","ENSG00000197563.8"
"13763","ENSG00000197565","COL4A6","ENSG00000197565.14"
"13764","ENSG00000197566","ZNF624","ENSG00000197566.8"
"13765","ENSG00000197568","HHLA3","ENSG00000197568.12"
"13766","ENSG00000197576","HOXA4","ENSG00000197576.12"
"13767","ENSG00000197579","TOPORS","ENSG00000197579.6"
"13768","ENSG00000197580","BCO2","ENSG00000197580.10"
"13769","ENSG00000197582","GPX1P1","ENSG00000197582.5"
"13770","ENSG00000197584","KCNMB2","ENSG00000197584.10"
"13771","ENSG00000197586","ENTPD6","ENSG00000197586.11"
"13772","ENSG00000197594","ENPP1","ENSG00000197594.10"
"13773","ENSG00000197599","CCDC154","ENSG00000197599.11"
"13774","ENSG00000197601","FAR1","ENSG00000197601.11"
"13775","ENSG00000197603","CPLANE1","ENSG00000197603.12"
"13776","ENSG00000197608","ZNF841","ENSG00000197608.10"
"13777","ENSG00000197614","MFAP5","ENSG00000197614.9"
"13778","ENSG00000197619","ZNF615","ENSG00000197619.12"
"13779","ENSG00000197620","EOLA1","ENSG00000197620.9"
"13780","ENSG00000197622","CDC42SE1","ENSG00000197622.11"
"13781","ENSG00000197629","MPEG1","ENSG00000197629.5"
"13782","ENSG00000197632","SERPINB2","ENSG00000197632.7"
"13783","ENSG00000197635","DPP4","ENSG00000197635.8"
"13784","ENSG00000197641","SERPINB13","ENSG00000197641.10"
"13785","ENSG00000197646","PDCD1LG2","ENSG00000197646.7"
"13786","ENSG00000197647","ZNF433","ENSG00000197647.10"
"13787","ENSG00000197653","DNAH10","ENSG00000197653.13"
"13788","ENSG00000197670","AL157838.1","ENSG00000197670.6"
"13789","ENSG00000197694","SPTAN1","ENSG00000197694.12"
"13790","ENSG00000197696","NMB","ENSG00000197696.8"
"13791","ENSG00000197702","PARVA","ENSG00000197702.10"
"13792","ENSG00000197712","FAM114A1","ENSG00000197712.10"
"13793","ENSG00000197713","RPE","ENSG00000197713.13"
