"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"9520","ENSG00000165632","TAF3","ENSG00000165632.7"
"9521","ENSG00000165633","VSTM4","ENSG00000165633.11"
"9522","ENSG00000165637","VDAC2","ENSG00000165637.12"
"9523","ENSG00000165644","COMTD1","ENSG00000165644.9"
"9524","ENSG00000165650","PDZD8","ENSG00000165650.10"
"9525","ENSG00000165655","ZNF503","ENSG00000165655.15"
"9526","ENSG00000165660","ABRAXAS2","ENSG00000165660.7"
"9527","ENSG00000165661","QSOX2","ENSG00000165661.14"
"9528","ENSG00000165669","FAM204A","ENSG00000165669.12"
"9529","ENSG00000165671","NSD1","ENSG00000165671.17"
"9530","ENSG00000165672","PRDX3","ENSG00000165672.6"
"9531","ENSG00000165675","ENOX2","ENSG00000165675.15"
"9532","ENSG00000165678","GHITM","ENSG00000165678.18"
"9533","ENSG00000165684","SNAPC4","ENSG00000165684.3"
"9534","ENSG00000165685","TMEM52B","ENSG00000165685.7"
"9535","ENSG00000165688","PMPCA","ENSG00000165688.10"
"9536","ENSG00000165689","ENTR1","ENSG00000165689.15"
"9537","ENSG00000165695","AK8","ENSG00000165695.8"
"9538","ENSG00000165698","SPACA9","ENSG00000165698.14"
"9539","ENSG00000165699","TSC1","ENSG00000165699.12"
"9540","ENSG00000165704","HPRT1","ENSG00000165704.13"
"9541","ENSG00000165714","BORCS5","ENSG00000165714.9"
"9542","ENSG00000165716","DIPK1B","ENSG00000165716.8"
"9543","ENSG00000165724","ZMYND19","ENSG00000165724.5"
"9544","ENSG00000165730","STOX1","ENSG00000165730.13"
"9545","ENSG00000165731","RET","ENSG00000165731.16"
"9546","ENSG00000165732","DDX21","ENSG00000165732.11"
"9547","ENSG00000165733","BMS1","ENSG00000165733.7"
"9548","ENSG00000165752","STK32C","ENSG00000165752.15"
"9549","ENSG00000165757","JCAD","ENSG00000165757.8"
"9550","ENSG00000165775","FUNDC2","ENSG00000165775.16"
"9551","ENSG00000165782","PIP4P1","ENSG00000165782.9"
"9552","ENSG00000165792","METTL17","ENSG00000165792.16"
"9553","ENSG00000165794","SLC39A2","ENSG00000165794.8"
"9554","ENSG00000165795","NDRG2","ENSG00000165795.19"
"9555","ENSG00000165799","RNASE7","ENSG00000165799.4"
"9556","ENSG00000165801","ARHGEF40","ENSG00000165801.8"
"9557","ENSG00000165802","NSMF","ENSG00000165802.18"
"9558","ENSG00000165804","ZNF219","ENSG00000165804.14"
"9559","ENSG00000165806","CASP7","ENSG00000165806.18"
"9560","ENSG00000165807","PPP1R36","ENSG00000165807.6"
"9561","ENSG00000165810","BTNL9","ENSG00000165810.15"
"9562","ENSG00000165813","CCDC186","ENSG00000165813.15"
"9563","ENSG00000165816","VWA2","ENSG00000165816.11"
"9564","ENSG00000165819","METTL3","ENSG00000165819.10"
"9565","ENSG00000165821","SALL2","ENSG00000165821.10"
"9566","ENSG00000165832","TRUB1","ENSG00000165832.5"
"9567","ENSG00000165861","ZFYVE1","ENSG00000165861.12"
"9568","ENSG00000165868","HSPA12A","ENSG00000165868.11"
"9569","ENSG00000165879","FRAT1","ENSG00000165879.8"
"9570","ENSG00000165886","UBTD1","ENSG00000165886.4"
"9571","ENSG00000165891","E2F7","ENSG00000165891.14"
"9572","ENSG00000165895","ARHGAP42","ENSG00000165895.16"
"9573","ENSG00000165898","ISCA2","ENSG00000165898.12"
"9574","ENSG00000165905","LARGE2","ENSG00000165905.15"
"9575","ENSG00000165912","PACSIN3","ENSG00000165912.14"
"9576","ENSG00000165914","TTC7B","ENSG00000165914.13"
"9577","ENSG00000165915","SLC39A13","ENSG00000165915.12"
"9578","ENSG00000165916","PSMC3","ENSG00000165916.7"
"9579","ENSG00000165923","AGBL2","ENSG00000165923.14"
"9580","ENSG00000165929","TC2N","ENSG00000165929.11"
"9581","ENSG00000165934","CPSF2","ENSG00000165934.11"
"9582","ENSG00000165935","SMCO2","ENSG00000165935.8"
"9583","ENSG00000165943","MOAP1","ENSG00000165943.4"
"9584","ENSG00000165948","IFI27L1","ENSG00000165948.9"
"9585","ENSG00000165949","IFI27","ENSG00000165949.11"
"9586","ENSG00000165959","CLMN","ENSG00000165959.10"
"9587","ENSG00000165983","PTER","ENSG00000165983.13"
"9588","ENSG00000165985","C1QL3","ENSG00000165985.9"
"9589","ENSG00000165995","CACNB2","ENSG00000165995.17"
"9590","ENSG00000165996","HACD1","ENSG00000165996.12"
"9591","ENSG00000165997","ARL5B","ENSG00000165997.4"
"9592","ENSG00000166002","SMCO4","ENSG00000166002.5"
"9593","ENSG00000166004","CEP295","ENSG00000166004.13"
"9594","ENSG00000166012","TAF1D","ENSG00000166012.13"
"9595","ENSG00000166016","ABTB2","ENSG00000166016.5"
"9596","ENSG00000166024","R3HCC1L","ENSG00000166024.12"
"9597","ENSG00000166025","AMOTL1","ENSG00000166025.16"
"9598","ENSG00000166033","HTRA1","ENSG00000166033.10"
"9599","ENSG00000166035","LIPC","ENSG00000166035.9"
"9600","ENSG00000166037","CEP57","ENSG00000166037.9"
"9601","ENSG00000166046","TCP11L2","ENSG00000166046.9"
"9602","ENSG00000166068","SPRED1","ENSG00000166068.11"
"9603","ENSG00000166073","GPR176","ENSG00000166073.7"
"9604","ENSG00000166086","JAM3","ENSG00000166086.11"
"9605","ENSG00000166106","ADAMTS15","ENSG00000166106.3"
"9606","ENSG00000166123","GPT2","ENSG00000166123.12"
"9607","ENSG00000166126","AMN","ENSG00000166126.9"
"9608","ENSG00000166128","RAB8B","ENSG00000166128.11"
"9609","ENSG00000166130","IKBIP","ENSG00000166130.13"
"9610","ENSG00000166133","RPUSD2","ENSG00000166133.16"
